account_number,customer_ref,account_type,currency,opened_on,risk_rating,status
MT5000001965,C00020,BUSINESS,INR,2024-07-07,MEDIUM,ACTIVE
MT5000002021,C00020,CURRENT,INR,2021-02-02,HIGH,ACTIVE
MT5000002023,C00021,SAVINGS,INR,2022-10-17,MEDIUM,ACTIVE
MT5000002040,C00022,SAVINGS,INR,2021-06-11,LOW,ACTIVE
MT5000002088,C00022,WALLET,INR,2025-12-04,LOW,ACTIVE
MT5000002134,C00023,BUSINESS,INR,2025-08-10,MEDIUM,ACTIVE
MT5000002138,C00023,CURRENT,USD,2022-04-14,LOW,ACTIVE
MT5000002230,C00024,SAVINGS,INR,2024-01-29,LOW,ACTIVE
MT5000002286,C00024,WALLET,INR,2025-01-14,LOW,ACTIVE
MT5000002311,C00025,SAVINGS,INR,2023-02-09,LOW,ACTIVE
MT5000002358,C00025,NRE,INR,2025-05-11,LOW,ACTIVE
MT5000002375,C00026,SAVINGS,INR,2025-06-20,MEDIUM,ACTIVE
MT5000002458,C00026,CURRENT,USD,2021-04-05,MEDIUM,ACTIVE
MT5000002476,C00027,SAVINGS,INR,2025-09-30,LOW,ACTIVE
MT5000002530,C00027,NRE,INR,2021-03-18,LOW,ACTIVE
MT5000002585,C00028,SAVINGS,INR,2022-09-23,LOW,ACTIVE
MT5000002651,C00028,NRE,INR,2023-02-16,MEDIUM,ACTIVE
MT5000002680,C00029,SAVINGS,INR,2025-03-07,LOW,ACTIVE
MT5000002744,C00030,SAVINGS,INR,2021-06-22,LOW,ACTIVE
MT5000002779,C00031,SAVINGS,INR,2023-12-02,MEDIUM,ACTIVE
MT5000002853,C00031,NRE,INR,2026-01-13,MEDIUM,ACTIVE
MT5000002944,C00032,SAVINGS,INR,2024-02-27,LOW,ACTIVE
MT5000003006,C00032,WALLET,INR,2025-10-10,LOW,ACTIVE
MT5000003103,C00033,SAVINGS,INR,2021-11-08,LOW,ACTIVE
MT5000003170,C00033,CURRENT,INR,2022-10-20,LOW,ACTIVE
MT5000003265,C00034,SAVINGS,INR,2022-07-02,MEDIUM,ACTIVE
MT5000003275,C00034,WALLET,INR,2022-09-02,LOW,ACTIVE
MT5000003354,C00035,SAVINGS,INR,2025-12-04,MEDIUM,ACTIVE
MT5000003423,C00035,CURRENT,INR,2023-05-08,MEDIUM,ACTIVE
MT5000003466,C00036,BUSINESS,INR,2023-11-11,LOW,ACTIVE
MT5000003504,C00036,CURRENT,INR,2026-01-09,LOW,ACTIVE
MT5000003543,C00037,SAVINGS,INR,2022-02-23,LOW,ACTIVE
MT5000003577,C00037,CURRENT,INR,2022-12-24,LOW,ACTIVE
MT5000003615,C00038,SAVINGS,INR,2021-09-08,LOW,ACTIVE
MT5000003678,C00039,SAVINGS,INR,2025-10-05,LOW,ACTIVE
MT5000003714,C00040,SAVINGS,INR,2024-10-22,LOW,ACTIVE
MT5000003747,C00041,SAVINGS,INR,2026-02-21,LOW,ACTIVE
MT5000003823,C00042,BUSINESS,INR,2022-01-29,LOW,ACTIVE
MT5000003881,C00042,CURRENT,INR,2025-03-28,LOW,ACTIVE
MT5000003944,C00043,SAVINGS,INR,2025-03-17,MEDIUM,ACTIVE
MT5000003949,C00043,NRE,INR,2025-10-01,MEDIUM,ACTIVE
MT5000003969,C00044,SAVINGS,INR,2021-07-11,LOW,ACTIVE
MT5000004022,C00044,NRE,INR,2024-11-20,LOW,ACTIVE
MT5000004044,C00045,SAVINGS,INR,2025-01-15,LOW,ACTIVE
MT5000004089,C00045,CURRENT,INR,2021-12-26,MEDIUM,ACTIVE
MT5000004149,C00046,SAVINGS,INR,2023-12-27,MEDIUM,ACTIVE
MT5000004246,C00047,SAVINGS,INR,2021-01-18,LOW,ACTIVE
MT5000004295,C00047,WALLET,INR,2022-04-07,LOW,ACTIVE
MT5000004363,C00048,SAVINGS,INR,2021-05-05,MEDIUM,ACTIVE
MT5000004421,C00049,SAVINGS,INR,2024-01-30,LOW,ACTIVE
MT5000004509,C00050,SAVINGS,INR,2025-12-28,LOW,ACTIVE
MT5000004578,C00050,WALLET,INR,2024-03-28,MEDIUM,ACTIVE
MT5000004662,C00051,SAVINGS,INR,2021-05-30,LOW,ACTIVE
MT5000004697,C00051,NRE,INR,2021-09-21,LOW,ACTIVE
MT5000004748,C00052,SAVINGS,INR,2023-08-21,LOW,ACTIVE
MT5000004844,C00052,CURRENT,INR,2022-12-03,LOW,ACTIVE
MT5000004931,C00053,SAVINGS,INR,2022-05-09,MEDIUM,ACTIVE
MT5000004972,C00053,WALLET,INR,2026-03-01,LOW,ACTIVE
MT5000004974,C00054,SAVINGS,INR,2023-12-01,LOW,ACTIVE
MT5000004988,C00054,WALLET,INR,2023-09-21,LOW,ACTIVE
MT5000005021,C00055,SAVINGS,INR,2025-02-20,LOW,ACTIVE
MT5000005101,C00055,CURRENT,USD,2022-11-22,LOW,ACTIVE
MT5000005178,C00056,SAVINGS,INR,2022-08-24,MEDIUM,ACTIVE
MT5000005194,C00056,CURRENT,INR,2025-06-29,MEDIUM,ACTIVE
MT5000005277,C00057,SAVINGS,INR,2023-01-18,MEDIUM,ACTIVE
MT5000005301,C00057,CURRENT,INR,2024-10-20,LOW,ACTIVE
MT5000005311,C00058,SAVINGS,INR,2022-08-22,LOW,ACTIVE
MT5000005347,C00058,NRE,INR,2022-05-05,MEDIUM,ACTIVE
MT5000005389,C00059,SAVINGS,INR,2024-10-11,LOW,ACTIVE
MT5000005399,C00059,NRE,INR,2021-11-12,LOW,ACTIVE
MT5000005407,C00060,SAVINGS,INR,2024-10-10,MEDIUM,ACTIVE
MT5000005464,C00061,SAVINGS,INR,2025-10-31,LOW,ACTIVE
MT5000005543,C00062,SAVINGS,INR,2024-01-08,LOW,ACTIVE
MT5000005606,C00062,CURRENT,USD,2021-11-29,LOW,ACTIVE
MT5000005620,C00063,SAVINGS,INR,2021-02-07,LOW,ACTIVE
MT5000005654,C00063,CURRENT,USD,2025-10-29,LOW,ACTIVE
MT5000005712,C00064,SAVINGS,INR,2026-02-12,MEDIUM,ACTIVE
MT5000005794,C00065,BUSINESS,INR,2026-03-21,MEDIUM,ACTIVE
MT5000005829,C00066,SAVINGS,INR,2025-05-16,LOW,ACTIVE
MT5000005880,C00066,WALLET,INR,2026-03-15,LOW,ACTIVE
MT5000005943,C00067,BUSINESS,INR,2023-07-17,LOW,ACTIVE
MT5000006037,C00067,CURRENT,INR,2021-10-26,LOW,ACTIVE
MT5000006087,C00068,SAVINGS,INR,2022-05-11,MEDIUM,ACTIVE
MT5000006160,C00069,BUSINESS,INR,2023-03-22,MEDIUM,ACTIVE
MT5000006206,C00069,CURRENT,INR,2024-07-10,LOW,ACTIVE
MT5000006289,C00070,SAVINGS,INR,2025-09-18,LOW,ACTIVE
MT5000006333,C00070,CURRENT,INR,2021-12-16,LOW,ACTIVE
MT5000006356,C00071,BUSINESS,INR,2023-02-11,LOW,ACTIVE
MT5000006406,C00071,CURRENT,INR,2024-07-18,LOW,ACTIVE
MT5000006487,C00072,SAVINGS,INR,2022-05-12,LOW,ACTIVE
MT5000006498,C00072,WALLET,INR,2023-10-08,LOW,ACTIVE
MT5000006523,C00073,SAVINGS,INR,2026-01-30,LOW,ACTIVE
MT5000006586,C00074,BUSINESS,INR,2024-01-16,LOW,ACTIVE
MT5000006656,C00074,CURRENT,INR,2023-06-03,LOW,ACTIVE
MT5000006714,C00075,SAVINGS,INR,2026-02-17,LOW,ACTIVE
MT5000006722,C00075,NRE,INR,2021-10-21,LOW,ACTIVE
MT5000006750,C00076,SAVINGS,INR,2021-09-12,LOW,ACTIVE
MT5000006817,C00076,NRE,INR,2020-12-13,LOW,ACTIVE
MT5000006837,C00077,SAVINGS,INR,2022-01-25,MEDIUM,ACTIVE
MT5000006847,C00077,CURRENT,INR,2023-06-25,MEDIUM,ACTIVE
MT5000006927,C00078,SAVINGS,INR,2025-12-19,LOW,ACTIVE
MT5000007011,C00078,CURRENT,USD,2022-09-04,LOW,ACTIVE
MT5000007024,C00079,SAVINGS,INR,2023-08-31,HIGH,ACTIVE
MT5000007033,C00080,SAVINGS,INR,2021-08-21,MEDIUM,ACTIVE
MT5000007048,C00080,NRE,INR,2022-11-20,LOW,ACTIVE
MT5000007074,C00081,SAVINGS,INR,2023-11-01,LOW,ACTIVE
MT5000007169,C00082,SAVINGS,INR,2022-06-02,MEDIUM,ACTIVE
MT5000007185,C00082,WALLET,INR,2022-12-29,MEDIUM,ACTIVE
MT5000007213,C00083,SAVINGS,INR,2021-12-08,LOW,ACTIVE
MT5000007222,C00084,BUSINESS,INR,2025-07-18,LOW,ACTIVE
MT5000007244,C00085,BUSINESS,INR,2022-04-26,LOW,ACTIVE
MT5000007266,C00085,CURRENT,INR,2021-01-12,LOW,ACTIVE
MT5000007347,C00086,BUSINESS,INR,2022-10-15,MEDIUM,ACTIVE
MT5000007410,C00087,SAVINGS,INR,2025-10-08,MEDIUM,ACTIVE
MT5000007422,C00088,SAVINGS,INR,2022-04-05,LOW,ACTIVE
MT5000007476,C00089,SAVINGS,INR,2022-05-02,MEDIUM,ACTIVE
MT5000007537,C00089,WALLET,INR,2025-07-06,LOW,ACTIVE
MT5000007604,C00090,SAVINGS,INR,2023-09-12,LOW,ACTIVE
MT5000007627,C00090,WALLET,INR,2022-05-06,LOW,ACTIVE
MT5000007691,C00091,BUSINESS,INR,2022-10-16,MEDIUM,ACTIVE
MT5000007730,C00092,SAVINGS,INR,2024-04-09,HIGH,ACTIVE
MT5000007802,C00092,CURRENT,USD,2023-04-02,MEDIUM,ACTIVE
MT5000007872,C00093,SAVINGS,INR,2023-05-18,LOW,ACTIVE
MT5000007953,C00093,WALLET,INR,2025-01-20,LOW,ACTIVE
MT5000007973,C00094,SAVINGS,INR,2022-05-19,MEDIUM,ACTIVE
MT5000008037,C00095,SAVINGS,INR,2025-03-26,LOW,ACTIVE
MT5000008043,C00095,CURRENT,INR,2024-08-16,LOW,ACTIVE
MT5000008122,C00096,SAVINGS,INR,2021-09-16,MEDIUM,ACTIVE
MT5000008136,C00097,SAVINGS,INR,2022-01-26,LOW,ACTIVE
MT5000008205,C00097,CURRENT,USD,2026-01-22,LOW,ACTIVE
MT5000008236,C00098,SAVINGS,INR,2022-03-06,LOW,ACTIVE
MT5000008290,C00099,SAVINGS,INR,2025-02-08,LOW,ACTIVE
MT5000008332,C00099,CURRENT,INR,2024-05-24,LOW,ACTIVE
MT5000008385,C00100,SAVINGS,INR,2021-05-06,LOW,ACTIVE
MT5000008395,C00101,BUSINESS,INR,2023-08-01,LOW,ACTIVE
MT5000008402,C00101,CURRENT,INR,2025-05-30,LOW,ACTIVE
MT5000008425,C00102,SAVINGS,INR,2024-01-19,LOW,ACTIVE
MT5000008484,C00102,WALLET,INR,2025-02-18,LOW,ACTIVE
MT5000008510,C00103,SAVINGS,INR,2024-05-04,LOW,ACTIVE
MT5000008599,C00103,WALLET,INR,2025-11-20,LOW,ACTIVE
MT5000008659,C00104,SAVINGS,INR,2023-08-26,LOW,ACTIVE
MT5000008688,C00105,SAVINGS,INR,2021-04-02,LOW,ACTIVE
MT5000008709,C00105,WALLET,INR,2022-10-17,MEDIUM,ACTIVE
MT5000008780,C00106,SAVINGS,INR,2021-06-05,LOW,ACTIVE
MT5000008833,C00106,WALLET,INR,2023-06-25,MEDIUM,ACTIVE
MT5000008894,C00107,SAVINGS,INR,2021-07-12,MEDIUM,ACTIVE
MT5000008949,C00108,SAVINGS,INR,2022-02-04,MEDIUM,ACTIVE
MT5000009005,C00109,SAVINGS,INR,2022-12-22,LOW,ACTIVE
MT5000009025,C00110,SAVINGS,INR,2021-02-05,LOW,ACTIVE
MT5000009026,C00110,NRE,INR,2025-12-22,LOW,ACTIVE
MT5000009091,C00111,SAVINGS,INR,2026-01-13,LOW,ACTIVE
MT5000009142,C00111,NRE,INR,2021-09-06,LOW,ACTIVE
MT5000009200,C00112,SAVINGS,INR,2023-06-12,LOW,ACTIVE
MT5000009272,C00112,CURRENT,INR,2023-12-11,MEDIUM,ACTIVE
MT5000009310,C00113,SAVINGS,INR,2024-11-18,LOW,ACTIVE
MT5000009372,C00114,SAVINGS,INR,2022-06-21,LOW,ACTIVE
MT5000009446,C00115,SAVINGS,INR,2022-01-12,LOW,ACTIVE
MT5000009505,C00115,NRE,INR,2021-11-23,LOW,ACTIVE
MT5000009529,C00116,SAVINGS,INR,2021-10-17,MEDIUM,ACTIVE
MT5000009610,C00116,NRE,INR,2022-04-11,LOW,ACTIVE
MT5000009620,C00117,SAVINGS,INR,2024-01-24,MEDIUM,ACTIVE
MT5000009663,C00117,WALLET,INR,2026-01-15,LOW,ACTIVE
MT5000009753,C00118,SAVINGS,INR,2020-12-01,LOW,ACTIVE
MT5000009827,C00118,CURRENT,INR,2025-10-08,LOW,ACTIVE
MT5000009835,C00119,BUSINESS,INR,2023-05-03,MEDIUM,ACTIVE
MT5000009842,C00120,SAVINGS,INR,2025-08-07,LOW,ACTIVE
MT5000009902,C00120,WALLET,INR,2025-12-29,LOW,ACTIVE
MT5000009974,C00121,SAVINGS,INR,2022-04-09,LOW,ACTIVE
MT5000010001,C00122,SAVINGS,INR,2025-06-12,MEDIUM,ACTIVE
MT5000010032,C00122,WALLET,INR,2025-08-02,LOW,ACTIVE
MT5000010129,C00123,SAVINGS,INR,2022-12-20,MEDIUM,ACTIVE
MT5000010219,C00123,CURRENT,INR,2021-12-15,HIGH,ACTIVE
MT5000010254,C00124,SAVINGS,INR,2023-05-26,MEDIUM,ACTIVE
MT5000010263,C00125,BUSINESS,INR,2024-02-18,LOW,ACTIVE
MT5000010331,C00126,SAVINGS,INR,2021-07-28,LOW,ACTIVE
MT5000010422,C00126,WALLET,INR,2022-06-02,MEDIUM,ACTIVE
MT5000010480,C00127,SAVINGS,INR,2022-09-28,LOW,ACTIVE
MT5000010567,C00127,WALLET,INR,2021-09-08,MEDIUM,ACTIVE
MT5000010592,C00128,SAVINGS,INR,2021-03-22,MEDIUM,ACTIVE
MT5000010604,C00128,CURRENT,INR,2025-03-21,LOW,ACTIVE
MT5000010618,C00129,SAVINGS,INR,2025-04-19,LOW,ACTIVE
MT5000010708,C00129,CURRENT,INR,2021-04-26,LOW,ACTIVE
MT5000010711,C00130,SAVINGS,INR,2024-07-30,LOW,ACTIVE
MT5000010799,C00130,WALLET,INR,2020-12-30,LOW,ACTIVE
MT5000010856,C00131,SAVINGS,INR,2022-02-01,HIGH,ACTIVE
MT5000010865,C00132,SAVINGS,INR,2026-02-05,MEDIUM,ACTIVE
MT5000010932,C00133,BUSINESS,INR,2022-08-10,LOW,ACTIVE
MT5000011016,C00134,BUSINESS,INR,2022-08-07,LOW,ACTIVE
MT5000011079,C00134,CURRENT,INR,2022-04-25,LOW,ACTIVE
MT5000011138,C00135,SAVINGS,INR,2024-07-08,MEDIUM,ACTIVE
MT5000011178,C00135,CURRENT,INR,2024-12-13,MEDIUM,ACTIVE
MT5000011185,C00136,SAVINGS,INR,2025-05-23,LOW,ACTIVE
MT5000011244,C00136,CURRENT,INR,2025-04-27,LOW,ACTIVE
MT5000011267,C00137,BUSINESS,INR,2021-07-08,LOW,ACTIVE
MT5000011287,C00138,SAVINGS,INR,2025-04-26,HIGH,ACTIVE
MT5000011293,C00138,NRE,INR,2023-01-01,HIGH,ACTIVE
MT5000011317,C00139,SAVINGS,INR,2025-01-26,HIGH,ACTIVE
MT5000011358,C00140,SAVINGS,INR,2024-04-17,LOW,ACTIVE
MT5000011379,C00141,SAVINGS,INR,2023-03-26,LOW,ACTIVE
MT5000011383,C00141,NRE,INR,2021-01-01,LOW,ACTIVE
MT5000011442,C00142,SAVINGS,INR,2021-01-07,LOW,ACTIVE
MT5000011537,C00143,SAVINGS,INR,2023-02-28,MEDIUM,ACTIVE
MT5000011628,C00144,SAVINGS,INR,2024-07-25,LOW,ACTIVE
MT5000011725,C00145,SAVINGS,INR,2023-01-03,LOW,ACTIVE
MT5000011819,C00146,SAVINGS,INR,2021-02-19,MEDIUM,ACTIVE
MT5000011863,C00146,WALLET,INR,2025-08-04,MEDIUM,ACTIVE
MT5000011881,C00147,SAVINGS,INR,2022-06-03,LOW,ACTIVE
MT5000011921,C00147,CURRENT,INR,2021-07-04,LOW,ACTIVE
MT5000011963,C00148,SAVINGS,INR,2025-11-30,LOW,ACTIVE
MT5000012031,C00149,SAVINGS,INR,2024-12-23,LOW,ACTIVE
MT5000012057,C00150,SAVINGS,INR,2026-02-04,LOW,ACTIVE
MT5000012115,C00150,WALLET,INR,2022-06-16,MEDIUM,ACTIVE
MT5000012166,C00151,SAVINGS,INR,2025-02-17,LOW,ACTIVE
MT5000012244,C00151,WALLET,INR,2023-05-10,MEDIUM,ACTIVE
MT5000012291,C00152,SAVINGS,INR,2023-12-29,LOW,ACTIVE
MT5000012346,C00152,NRE,INR,2024-01-22,LOW,ACTIVE
MT5000012391,C00153,SAVINGS,INR,2024-06-30,MEDIUM,ACTIVE
MT5000012403,C00154,SAVINGS,INR,2025-01-05,LOW,ACTIVE
MT5000012460,C00154,WALLET,INR,2023-11-22,MEDIUM,ACTIVE
MT5000012554,C00155,SAVINGS,INR,2021-03-10,LOW,ACTIVE
MT5000012572,C00156,SAVINGS,INR,2021-07-15,LOW,ACTIVE
MT5000012584,C00156,CURRENT,USD,2023-07-24,MEDIUM,ACTIVE
MT5000012627,C00157,SAVINGS,INR,2025-11-07,MEDIUM,ACTIVE
MT5000012703,C00157,NRE,INR,2025-09-22,LOW,ACTIVE
MT5000012738,C00158,SAVINGS,INR,2023-11-25,LOW,ACTIVE
MT5000012798,C00158,WALLET,INR,2023-01-14,LOW,ACTIVE
MT5000012822,C00159,SAVINGS,INR,2021-07-22,HIGH,ACTIVE
MT5000012828,C00160,SAVINGS,INR,2021-08-10,MEDIUM,ACTIVE
MT5000012903,C00160,NRE,INR,2023-06-15,LOW,ACTIVE
MT5000012907,C00161,SAVINGS,INR,2021-10-14,LOW,ACTIVE
MT5000012941,C00161,NRE,INR,2022-08-19,MEDIUM,ACTIVE
MT5000013025,C00162,SAVINGS,INR,2022-06-28,MEDIUM,ACTIVE
MT5000013079,C00162,CURRENT,INR,2022-05-14,LOW,ACTIVE
MT5000013115,C00163,SAVINGS,INR,2023-06-17,MEDIUM,ACTIVE
MT5000013211,C00164,BUSINESS,INR,2024-03-12,LOW,ACTIVE
MT5000013245,C00165,SAVINGS,INR,2022-09-13,LOW,ACTIVE
MT5000013334,C00165,CURRENT,INR,2022-02-10,LOW,ACTIVE
MT5000013355,C00166,SAVINGS,INR,2022-12-17,LOW,ACTIVE
MT5000013396,C00166,NRE,INR,2021-04-19,LOW,ACTIVE
MT5000013403,C00167,SAVINGS,INR,2024-09-10,LOW,ACTIVE
MT5000013449,C00168,SAVINGS,INR,2025-12-13,LOW,ACTIVE
MT5000013517,C00168,WALLET,INR,2020-12-21,LOW,ACTIVE
MT5000013598,C00169,SAVINGS,INR,2025-03-12,LOW,ACTIVE
MT5000013620,C00170,SAVINGS,INR,2023-03-05,MEDIUM,ACTIVE
MT5000013661,C00170,WALLET,INR,2021-09-26,MEDIUM,ACTIVE
MT5000013750,C00171,SAVINGS,INR,2024-03-10,LOW,ACTIVE
MT5000013825,C00171,NRE,INR,2021-08-09,LOW,ACTIVE
MT5000013862,C00172,SAVINGS,INR,2024-02-18,LOW,ACTIVE
MT5000013883,C00173,SAVINGS,INR,2025-08-25,MEDIUM,ACTIVE
MT5000013948,C00173,CURRENT,INR,2021-10-06,MEDIUM,ACTIVE
MT5000014016,C00174,SAVINGS,INR,2021-06-24,LOW,ACTIVE
MT5000014087,C00174,WALLET,INR,2021-12-25,MEDIUM,ACTIVE
MT5000014097,C00175,BUSINESS,INR,2025-07-27,MEDIUM,ACTIVE
MT5000014100,C00175,CURRENT,INR,2024-06-22,LOW,ACTIVE
MT5000014157,C00176,SAVINGS,INR,2021-03-26,MEDIUM,ACTIVE
MT5000014201,C00177,SAVINGS,INR,2025-04-04,LOW,ACTIVE
MT5000014205,C00177,WALLET,INR,2021-08-27,LOW,ACTIVE
MT5000014294,C00178,SAVINGS,INR,2025-06-04,MEDIUM,ACTIVE
MT5000014321,C00179,SAVINGS,INR,2025-06-29,MEDIUM,ACTIVE
MT5000014336,C00180,SAVINGS,INR,2025-10-14,LOW,ACTIVE
MT5000014398,C00180,NRE,INR,2025-12-25,LOW,ACTIVE
MT5000014483,C00181,SAVINGS,INR,2023-05-06,LOW,ACTIVE
MT5000014516,C00182,SAVINGS,INR,2025-12-24,LOW,ACTIVE
MT5000014602,C00182,CURRENT,INR,2021-11-01,LOW,ACTIVE
MT5000014678,C00183,BUSINESS,INR,2021-03-03,MEDIUM,ACTIVE
MT5000014764,C00183,CURRENT,INR,2025-09-18,MEDIUM,ACTIVE
MT5000014800,C00184,SAVINGS,INR,2022-12-21,LOW,ACTIVE
MT5000014821,C00184,WALLET,INR,2021-11-04,LOW,ACTIVE
MT5000014894,C00185,SAVINGS,INR,2025-11-03,LOW,ACTIVE
MT5000014896,C00186,SAVINGS,INR,2023-04-04,LOW,ACTIVE
MT5000014921,C00186,NRE,INR,2025-04-05,MEDIUM,ACTIVE
MT5000015014,C00187,SAVINGS,INR,2025-09-01,MEDIUM,ACTIVE
MT5000015079,C00187,WALLET,INR,2023-07-24,LOW,ACTIVE
MT5000015136,C00188,SAVINGS,INR,2022-06-12,MEDIUM,ACTIVE
MT5000015160,C00188,NRE,INR,2024-02-04,LOW,ACTIVE
MT5000015213,C00189,SAVINGS,INR,2025-08-03,HIGH,ACTIVE
MT5000015254,C00189,CURRENT,INR,2023-04-23,HIGH,ACTIVE
MT5000015345,C00190,SAVINGS,INR,2024-08-09,LOW,ACTIVE
MT5000015351,C00190,CURRENT,INR,2025-07-29,LOW,ACTIVE
MT5000015446,C00191,SAVINGS,INR,2024-06-22,MEDIUM,ACTIVE
MT5000015503,C00191,CURRENT,INR,2024-08-04,MEDIUM,ACTIVE
MT5000015512,C00192,SAVINGS,INR,2021-03-16,MEDIUM,ACTIVE
MT5000015573,C00192,WALLET,INR,2024-02-29,LOW,ACTIVE
MT5000015636,C00193,SAVINGS,INR,2022-06-15,LOW,ACTIVE
MT5000015693,C00193,WALLET,INR,2022-07-13,LOW,ACTIVE
MT5000015744,C00194,SAVINGS,INR,2023-12-23,LOW,ACTIVE
MT5000015839,C00195,SAVINGS,INR,2021-01-13,MEDIUM,ACTIVE
MT5000015861,C00195,CURRENT,INR,2025-02-08,LOW,ACTIVE
MT5000015913,C00196,SAVINGS,INR,2025-07-14,LOW,ACTIVE
MT5000015968,C00196,WALLET,INR,2023-06-04,LOW,ACTIVE
MT5000016043,C00197,SAVINGS,INR,2022-11-23,LOW,ACTIVE
MT5000016126,C00197,NRE,INR,2024-03-23,LOW,ACTIVE
MT5000016178,C00198,SAVINGS,INR,2023-07-04,LOW,ACTIVE
MT5000016197,C00198,NRE,INR,2025-08-13,LOW,ACTIVE
MT5000016227,C00199,SAVINGS,INR,2022-09-13,MEDIUM,ACTIVE
MT5000016231,C00199,CURRENT,INR,2021-07-26,LOW,ACTIVE
MT5000016254,C00200,SAVINGS,INR,2024-01-29,LOW,ACTIVE
MT5000016296,C00200,CURRENT,INR,2022-09-23,LOW,ACTIVE
MT5000016393,C00201,SAVINGS,INR,2023-04-23,LOW,ACTIVE
MT5000016419,C00202,SAVINGS,INR,2024-07-29,LOW,ACTIVE
MT5000016482,C00202,WALLET,INR,2024-10-03,LOW,ACTIVE
MT5000016552,C00203,SAVINGS,INR,2023-02-27,LOW,ACTIVE
MT5000016557,C00203,NRE,INR,2021-04-15,MEDIUM,ACTIVE
MT5000016598,C00204,SAVINGS,INR,2021-06-10,LOW,ACTIVE
MT5000016603,C00205,SAVINGS,INR,2025-03-25,LOW,ACTIVE
MT5000016642,C00205,WALLET,INR,2025-04-20,LOW,ACTIVE
MT5000016734,C00206,SAVINGS,INR,2024-01-16,LOW,ACTIVE
MT5000016821,C00207,SAVINGS,INR,2023-06-22,LOW,ACTIVE
MT5000016895,C00208,SAVINGS,INR,2023-08-03,LOW,ACTIVE
MT5000016916,C00208,WALLET,INR,2025-11-28,LOW,ACTIVE
MT5000016965,C00209,SAVINGS,INR,2022-10-06,HIGH,ACTIVE
MT5000017002,C00209,NRE,INR,2025-11-17,HIGH,ACTIVE
MT5000017049,C00210,SAVINGS,INR,2024-04-07,MEDIUM,ACTIVE
MT5000017130,C00211,SAVINGS,INR,2024-04-23,LOW,ACTIVE
MT5000017185,C00211,NRE,INR,2024-03-21,LOW,ACTIVE
MT5000017217,C00212,SAVINGS,INR,2024-10-31,LOW,ACTIVE
MT5000017228,C00213,SAVINGS,INR,2021-02-12,LOW,ACTIVE
MT5000017243,C00214,SAVINGS,INR,2024-04-30,LOW,ACTIVE
MT5000017312,C00214,NRE,INR,2026-01-05,LOW,ACTIVE
MT5000017385,C00215,SAVINGS,INR,2023-05-03,MEDIUM,ACTIVE
MT5000017420,C00215,CURRENT,INR,2022-12-04,LOW,ACTIVE
MT5000017494,C00216,SAVINGS,INR,2024-01-13,LOW,ACTIVE
MT5000017557,C00217,SAVINGS,INR,2025-08-30,LOW,ACTIVE
MT5000017621,C00218,SAVINGS,INR,2023-05-28,MEDIUM,ACTIVE
