external_ref,full_name,national_id,date_of_birth,customer_type,country,kyc_risk_rating
C00029,Vihaan Malhotri,WPJBA5291C,1961-09-26,RETAIL,IN,LOW
C00030,Farhan Narang,ADCYE3426G,1983-02-15,RETAIL,IN,LOW
C00031,Aditya Zaveri,MGXHX3532D,1986-06-17,RETAIL,IN,LOW
C00032,Diya Zaveri,PAFZL5065E,1986-12-09,RETAIL,IN,LOW
C00033,Kavya Yeshwant,BRHGQ4652A,1970-06-02,RETAIL,IN,LOW
C00034,Navya Yeshwant,CJMWS6425A,1998-02-08,RETAIL,IN,LOW
C00035,Diya Oberai,JBDVP8149K,1978-02-21,RETAIL,SG,LOW
C00036,Zaveri Jewellers,GJBYP4228F,,BUSINESS,IN,LOW
C00037,Rohan Pillaiyar,LXDZK6344G,1986-08-22,RETAIL,IN,LOW
C00038,Saanvi Jadhavan,XNXZF7653J,1976-12-31,RETAIL,IN,HIGH
C00039,Aadhya Jadhavan,UVWLQ9375H,1969-03-04,RETAIL,IN,LOW
C00040,Ananya Raghunath,CKSXW4848E,1958-05-19,RETAIL,IN,LOW
C00041,Vivaan Kestrel,HRVCQ7291H,1967-06-12,RETAIL,IN,LOW
C00042,Sethuram Traders,DPHFY5082B,,BUSINESS,IN,LOW
C00043,Lakshmi Narang,VLQVZ9976H,1988-04-14,RETAIL,IN,MEDIUM
C00044,Rahul Kulkarn,JHWJS5499H,1971-06-19,RETAIL,IN,LOW
C00045,Navya Fernhill,LTCEE4505B,1963-09-17,RETAIL,IN,LOW
C00046,Neha Jadhavan,BGPNU7232H,1951-10-03,RETAIL,IN,MEDIUM
C00047,Kavya Yeshwant,PTZZT8999D,1969-10-14,RETAIL,IN,LOW
C00048,Kavya Fernhill,XXNZF9751A,1961-06-14,RETAIL,IN,MEDIUM
C00049,Vivaan Malhotri,WPEQF6363D,1984-01-05,RETAIL,IN,LOW
C00050,Kavya Devraj,PJCRA6733D,1954-09-03,RETAIL,IN,LOW
C00051,Aditya Upadhyay,AHGAV8758B,1961-04-29,RETAIL,IN,LOW
C00052,Anika Upadhyay,MFVVZ6096B,1964-09-10,RETAIL,IN,LOW
C00053,Marcus Raghunath,NNYGC2669E,1971-10-15,RETAIL,IN,LOW
C00054,Ayaan Venkatesh,UBMTP9289F,1956-03-09,RETAIL,IN,LOW
C00055,Sneha Sundaram,PMWQY9548E,1965-10-20,RETAIL,IN,LOW
C00056,Rahul Kulkarn,PZUJL5569H,1957-10-10,RETAIL,IN,MEDIUM
C00057,Nora Raghunath,NLARL6813E,1969-01-11,RETAIL,IN,LOW
C00058,Navya Narang,ASGCH4937H,1993-10-31,RETAIL,IN,LOW
C00059,Vivaan Malhotri,KHNYH8753J,1983-02-09,RETAIL,IN,LOW
C00060,Elena Fernhill,MYQJK4155F,1960-10-28,RETAIL,IN,LOW
C00061,Diya Bhandari,GZRJZ5636B,1997-01-25,RETAIL,IN,LOW
C00062,Priya Iyengar,KAYTE5786C,1954-11-22,RETAIL,IN,LOW
C00063,Reyansh Yeshwant,AUKRR1841E,1966-07-17,RETAIL,AE,LOW
C00064,Arjun Harikumar,RCUWX5978B,1963-05-21,RETAIL,SG,LOW
C00065,Upadhyay Pharma Distributors,VVVHS5871K,,BUSINESS,SG,LOW
C00066,Nora Kestrel,VZDGW3573D,1957-04-14,RETAIL,IN,LOW
C00067,Vardhan Pharma Distributors,QYVRK5632H,,BUSINESS,IN,LOW
C00068,Anika Venkatesh,WUXGP3441E,1970-03-03,RETAIL,IN,LOW
C00069,Iyengar Agro Foods,VZUKQ7594E,,BUSINESS,IN,LOW
C00070,Sai Pillaiyar,BPZLV4750K,1958-03-12,RETAIL,IN,LOW
C00071,Upadhyay Agro Foods,UBFRS3973K,,BUSINESS,IN,LOW
C00072,Sai Lokesh,MPLLX6403G,1964-06-05,RETAIL,IN,LOW
C00073,Tara Wadekar,TBQCL7622J,1960-05-26,RETAIL,IN,LOW
C00074,Yeshwant Auto Parts,QPBGS8242A,,BUSINESS,IN,LOW
C00075,Riya Kulkarn,YRDAW3594E,1971-06-21,RETAIL,IN,LOW
C00076,Sai Castellan,DQDWE9337E,1976-03-08,RETAIL,IN,LOW
C00077,Rahul Castellan,QTENG3236B,1995-08-07,RETAIL,IN,MEDIUM
C00078,Zoya Fernhill,SJAKZ3434H,1993-12-05,RETAIL,IN,LOW
C00079,Elena Upadhyay,TNQLG7274D,1971-06-05,RETAIL,IN,HIGH
C00080,Kabir Thakkar,RYNNX9115A,1963-08-25,RETAIL,IN,LOW
C00081,Rohan Yeshwant,DQDSQ7717C,1962-12-07,RETAIL,IN,LOW
C00082,Anika Fernhill,VYNWC7226F,1997-11-15,RETAIL,IN,MEDIUM
C00083,Sneha Yeshwant,TBVCH4727B,1975-10-13,RETAIL,IN,LOW
C00084,Quereshi Exports,QFYKA5806F,,BUSINESS,IN,LOW
C00085,Mirchandan Pharma Distributors,UXFFF4945H,,BUSINESS,IN,LOW
C00086,Kulkarn Agro Foods,QJXAQ3588B,,BUSINESS,IN,MEDIUM
C00087,Hana Easwar,WPYJQ7302H,1967-11-15,RETAIL,IN,MEDIUM
C00088,Nikhil Oberai,KYKAX1803K,1950-09-23,RETAIL,IN,LOW
C00089,Riya Upadhyay,HVMHW3240B,1972-06-26,RETAIL,IN,LOW
C00090,Meera Venkatesh,QBUMZ6352G,1976-06-23,RETAIL,IN,LOW
C00091,Narang Infotech,SSJFJ5835F,,BUSINESS,IN,MEDIUM
C00092,Arjun Rathore,HXZXN2479G,1982-10-25,RETAIL,IN,HIGH
C00093,Neha Ganeshan,XZXJU2775D,1983-04-30,RETAIL,IN,LOW
C00094,Elena Fernhill,VHWCW7689B,1977-02-10,RETAIL,IN,MEDIUM
C00095,Meera Lokesh,DDHTE9850G,1983-04-15,RETAIL,IN,LOW
C00096,Zoya Quereshi,DRVPJ4559H,1983-03-30,RETAIL,IN,LOW
C00097,Priya Sundaram,XMTWM4109B,1974-10-02,RETAIL,AE,LOW
C00098,Sai Raghunath,GWWVA4990C,1979-12-03,RETAIL,IN,LOW
C00099,Elena Bhandari,UGHLE5542C,1950-04-03,RETAIL,SG,LOW
C00100,Diya Sundaram,XAEAM6304A,1971-05-07,RETAIL,IN,LOW
C00101,Thakkar Pharma Distributors,SDZCR9408K,,BUSINESS,IN,LOW
C00102,Nora Kestrel,ZXSKQ1996H,1952-10-17,RETAIL,IN,LOW
C00103,Reyansh Lokesh,YQCCL3067E,1955-11-23,RETAIL,IN,LOW
C00104,Kabir Harikumar,VSKQS2874J,1958-11-24,RETAIL,IN,LOW
C00105,Imran Zaveri,HPLQN6120G,1958-07-13,RETAIL,IN,LOW
C00106,Ishaan Raghunath,RCCCC3131J,1983-06-07,RETAIL,IN,LOW
C00107,Elena Fernhill,XDPMX1842E,1987-12-11,RETAIL,IN,MEDIUM
C00108,Marcus Mirchandan,GEXRH7022B,1981-05-30,RETAIL,IN,MEDIUM
C00109,Farhan Yeshwant,TVVXW1474C,1973-12-29,RETAIL,IN,LOW
C00110,Rohan Ganeshan,AFEUX1502B,1962-09-23,RETAIL,IN,LOW
C00111,Zoya Kulkarn,LFMKZ1861C,1957-08-15,RETAIL,IN,LOW
C00112,Sai Devraj,QXPRV4531J,1974-07-05,RETAIL,IN,LOW
C00113,Riya Raghunath,XURSX7475K,1969-10-13,RETAIL,IN,LOW
C00114,Aadhya Upadhyay,EJKLD3878C,1988-08-20,RETAIL,IN,LOW
C00115,Vikram Narang,XMCNZ8532B,1951-09-07,RETAIL,IN,LOW
C00116,Marcus Harikumar,YWPKD3815K,1979-02-20,RETAIL,IN,LOW
C00117,Priya Malhotri,PDHPU7484E,1957-01-21,RETAIL,IN,LOW
C00118,Ananya Malhotri,SWDSS6752C,1981-05-06,RETAIL,IN,LOW
C00119,Bhandari Logistics,VEWCF8601K,,BUSINESS,IN,HIGH
C00120,Marcus Quereshi,WVLWL8682H,1956-02-16,RETAIL,IN,LOW
C00121,Hana Kestrel,MSCKQ7041E,1955-02-08,RETAIL,IN,LOW
C00122,Sai Pillaiyar,VSNQU8368K,1953-09-06,RETAIL,IN,LOW
C00123,Rahul Mirchandan,EBQDL9266C,1957-07-26,RETAIL,IN,HIGH
C00124,Imran Mirchandan,SVFMM7697F,1984-10-03,RETAIL,IN,MEDIUM
C00125,Quereshi Infotech,CLDTX3463F,,BUSINESS,IN,LOW
C00126,Nikhil Easwar,WYXNE6072J,1957-08-08,RETAIL,IN,LOW
C00127,Krishna Raghunath,YZXSC9331F,1987-12-27,RETAIL,IN,LOW
C00128,Aadhya Fernhill,RGHEE9317J,1959-01-28,RETAIL,IN,LOW
C00129,Aditya Raghunath,LVEVN3712H,1966-03-23,RETAIL,IN,LOW
C00130,Myra Kulkarn,VKZQH8684D,1977-10-06,RETAIL,IN,LOW
C00131,Imran Kulkarn,KNSSP3267E,1967-12-01,RETAIL,IN,HIGH
C00132,Priya Narang,DYSDK5469H,1964-05-20,RETAIL,IN,LOW
C00133,Jadhavan Exports,HQMAP7126D,,BUSINESS,IN,LOW
C00134,Castellan Traders,LDYWL1627E,,BUSINESS,IN,LOW
C00135,Krishna Upadhyay,YRQVA5193D,1951-09-15,RETAIL,IN,MEDIUM
C00136,Leo Mirchandan,PDKHK7878K,1971-05-24,RETAIL,IN,LOW
C00137,Zaveri Hardware Mart,VTAWS5772G,,BUSINESS,IN,LOW
C00138,Marcus Jadhavan,FXXCS9618J,1956-01-27,RETAIL,IN,HIGH
C00139,Elena Vardhan,NRBWN1266F,1972-10-03,RETAIL,IN,HIGH
C00140,Reyansh Upadhyay,UZLEB3868H,1980-05-16,RETAIL,SG,LOW
C00141,Diya Venkatesh,ECYQB4268A,1953-12-06,RETAIL,IN,LOW
C00142,Tara Wadekar,TRJBW1783F,1982-01-10,RETAIL,IN,LOW
C00143,Farhan Zaveri,NZQNL9151F,1994-07-08,RETAIL,AE,HIGH
C00144,Sai Thakkar,PCPVF2680B,1978-10-26,RETAIL,IN,LOW
C00145,Imran Pillaiyar,YPFYQ6776K,1953-10-19,RETAIL,SG,LOW
C00146,Vihaan Malhotri,XWNMS1510C,1964-05-09,RETAIL,IN,MEDIUM
C00147,Imran Kestrel,ECHWM3513H,1952-11-27,RETAIL,AE,LOW
C00148,Arjun Oberai,ESMNL2858A,1972-05-24,RETAIL,IN,LOW
C00149,Kavya Ashbury,TDJJY9047D,1975-08-15,RETAIL,IN,LOW
C00150,Imran Iyengar,YQCXL9882E,1955-10-29,RETAIL,IN,LOW
C00151,Diya Venkatesh,MSHDG9094A,1971-03-29,RETAIL,IN,LOW
C00152,Neha Venkatesh,TEVCC9612G,1992-12-10,RETAIL,IN,LOW
C00153,Arjun Rathore,LWCQQ3102J,1980-11-28,RETAIL,IN,LOW
C00154,Krishna Jadhavan,SBDSE6286D,1964-07-13,RETAIL,IN,LOW
C00155,Riya Yeshwant,CJGWT9740B,1977-03-02,RETAIL,IN,LOW
C00156,Hana Rathore,FXVZV1464B,1953-09-11,RETAIL,IN,LOW
C00157,Marcus Devraj,WGUPV9938E,1994-09-06,RETAIL,IN,LOW
C00158,Myra Venkatesh,XNKQC8202G,1964-03-07,RETAIL,IN,LOW
C00159,Leo Rathore,LYLZM7070J,1961-09-24,RETAIL,IN,HIGH
C00160,Neha Sundaram,JQHED7850D,1984-06-18,RETAIL,GB,LOW
C00161,Kabir Ashbury,UZLGF8648H,1996-03-06,RETAIL,IN,LOW
C00162,Sai Harikumar,SQHGU5609H,1954-07-15,RETAIL,IN,LOW
C00163,Rahul Easwar,TADPE7606F,1982-10-25,RETAIL,IN,MEDIUM
C00164,Narang Textiles,MTKCN2946C,,BUSINESS,GB,LOW
C00165,Rohan Narang,MEGVS1742A,1953-08-12,RETAIL,IN,LOW
C00166,Rahul Mirchandan,QEVSE3662G,1978-07-30,RETAIL,SG,LOW
C00167,Meera Oberai,LSSTR8780A,1976-11-23,RETAIL,IN,LOW
C00168,Zoya Oberai,KZYWA4728A,1973-10-27,RETAIL,IN,LOW
C00169,Nora Upadhyay,NEXHB4125A,1959-11-11,RETAIL,IN,LOW
C00170,Zoya Sethuram,GPSVR3262J,1955-08-03,RETAIL,IN,MEDIUM
C00171,Rahul Mirchandan,NLFQT5331K,1981-10-14,RETAIL,IN,LOW
C00172,Navya Narang,KHKKY6194H,1993-11-14,RETAIL,IN,LOW
C00173,Navya Easwar,DUXTN6654C,1985-05-25,RETAIL,IN,MEDIUM
C00174,Sai Ganeshan,QWJZR5442J,1998-04-27,RETAIL,IN,LOW
C00175,Pillaiyar Jewellers,HHBXS1860B,,BUSINESS,IN,HIGH
C00176,Reyansh Raghunath,EATFP8822D,1992-09-04,RETAIL,IN,LOW
C00177,Riya Quereshi,BCWUH3868G,1953-05-07,RETAIL,IN,LOW
C00178,Aditya Wadekar,NRFZK5888K,1950-10-31,RETAIL,IN,HIGH
C00179,Rohan Easwar,QWTSR9261H,1962-01-15,RETAIL,IN,MEDIUM
C00180,Rohan Iyengar,ZQWJY5833K,1980-03-30,RETAIL,IN,LOW
C00181,Nora Yeshwant,WNPSL4027C,1958-07-23,RETAIL,IN,LOW
C00182,Aarav Devraj,NHQJL5285F,1951-01-10,RETAIL,IN,LOW
C00183,Sundaram Hardware Mart,KFNXS2923E,,BUSINESS,IN,MEDIUM
C00184,Krishna Lokesh,EQZVM8714J,1999-04-11,RETAIL,IN,LOW
C00185,Myra Raghunath,VCSQS2838A,1957-01-03,RETAIL,IN,LOW
C00186,Saanvi Oberai,TEFLS9008B,1968-06-05,RETAIL,IN,LOW
C00187,Vihaan Kulkarn,ESPQU6049A,1991-06-26,RETAIL,IN,LOW
C00188,Aadhya Oberai,CBPMY2130H,1955-05-29,RETAIL,IN,LOW
C00189,Krishna Upadhyay,WZWPM8348G,1984-04-25,RETAIL,IN,HIGH
C00190,Omar Rathore,WMDFT4648A,1961-06-04,RETAIL,IN,LOW
C00191,Neha Raghunath,ZTPTN8546F,1972-03-16,RETAIL,IN,MEDIUM
C00192,Ayaan Kestrel,XPVAH1550H,1959-01-20,RETAIL,IN,LOW
C00193,Vihaan Castellan,ZBNQH3295J,1955-01-24,RETAIL,SG,LOW
C00194,Marcus Fernhill,UVXLH9540D,1962-11-08,RETAIL,IN,LOW
C00195,Elena Oberai,ZFWXP6642G,1954-03-17,RETAIL,IN,LOW
C00196,Zoya Jadhavan,EKNFT5927C,1970-03-21,RETAIL,IN,LOW
C00197,Elena Jadhavan,PTSEN6411B,1968-03-29,RETAIL,AE,LOW
C00198,Sai Narang,ZGBJN2192D,1953-07-19,RETAIL,IN,LOW
C00199,Elena Bhandari,RGLKA2922H,1967-01-18,RETAIL,IN,LOW
C00200,Aadhya Harikumar,HTLKN6053E,1982-03-26,RETAIL,IN,LOW
C00201,Neha Sundaram,ZRLGM4625C,1954-02-07,RETAIL,IN,LOW
C00202,Hana Oberai,ZPKEG5026H,1984-01-29,RETAIL,IN,LOW
C00203,Rohan Devraj,RZWZR3773C,1981-08-06,RETAIL,IN,LOW
C00204,Omar Quereshi,BSBCX7756C,1950-07-29,RETAIL,IN,LOW
C00205,Ishaan Vardhan,GSQMB8993A,1993-05-08,RETAIL,IN,LOW
C00206,Aarav Vardhan,SZJTK3937B,1988-08-18,RETAIL,IN,LOW
C00207,Myra Bhandari,VSJMJ7112G,1957-02-02,RETAIL,IN,LOW
C00208,Kiara Easwar,XCWWB7179J,1984-01-10,RETAIL,IN,LOW
C00209,Ananya Malhotri,RPWLU9653A,1958-07-22,RETAIL,IN,HIGH
C00210,Marcus Lokesh,JBCXJ3938F,1952-12-14,RETAIL,IN,MEDIUM
C00211,Ishaan Upadhyay,YNCKF9856F,1984-11-29,RETAIL,IN,LOW
C00212,Sai Mirchandan,ZMBDP6580K,1956-10-26,RETAIL,IN,LOW
C00213,Tara Upadhyay,LAWJQ7150G,1981-12-03,RETAIL,IN,LOW
C00214,Kavya Malhotri,VKHYC7225C,1963-11-02,RETAIL,IN,LOW
C00215,Reyansh Malhotri,AKQMJ4070G,1957-10-31,RETAIL,IN,LOW
C00216,Zoya Sundaram,ACMTC7311A,1979-02-08,RETAIL,IN,LOW
C00217,Sai Thakkar,THUSF3274E,1965-03-17,RETAIL,IN,LOW
C00218,Arjun Iyengar,PJPKR5123D,1982-05-26,RETAIL,IN,LOW
C00219,Nora Bhandari,QDEKA7224F,1979-10-22,RETAIL,IN,MEDIUM
C00220,Leo Rathore,KLVYG7524F,1965-12-08,RETAIL,IN,LOW
C00221,Sneha Oberai,HLNJN9939C,1967-12-05,RETAIL,IN,LOW
C00222,Neha Sethuram,GQKYC9180C,1986-09-15,RETAIL,IN,MEDIUM
C00223,Ishaan Sethuram,PNCQV9755J,1985-12-16,RETAIL,AE,LOW
C00224,Zoya Narang,BMYTV2791D,1957-08-16,RETAIL,IN,LOW
C00225,Nora Kestrel,UWXWN8052B,1979-10-01,RETAIL,IN,HIGH
C00226,Vikram Thakkar,STUYU7408H,1983-07-26,RETAIL,IN,LOW
C00227,Vikram Rathore,MARDK2901C,1957-09-14,RETAIL,IN,LOW
C00228,Aadhya Mirchandan,RMRDQ6225B,1990-08-04,RETAIL,IN,LOW
C00229,Ayaan Vardhan,LWDXF9454C,1971-11-19,RETAIL,IN,MEDIUM
C00230,Farhan Kulkarn,HNWFF7481A,1988-10-08,RETAIL,IN,LOW
C00231,Imran Oberai,PNAYG2667J,1955-08-13,RETAIL,IN,LOW
C00232,Neha Sundaram,JXRSW7431K,1984-11-12,RETAIL,IN,LOW
C00233,Neha Pillaiyar,FXYKV6131B,1962-01-07,RETAIL,IN,LOW
C00234,Ganeshan Logistics,SNPVE4043H,,BUSINESS,IN,LOW
C00235,Diya Narang,FRKEF1878F,1990-06-18,RETAIL,GB,LOW
C00236,Saanvi Wadekar,NTSWR7809H,1994-02-11,RETAIL,IN,LOW
C00237,Vardhan Textiles,KBJHT9115J,,BUSINESS,IN,LOW
C00238,Navya Upadhyay,TMTBZ7965B,1969-08-10,RETAIL,IN,LOW
C00239,Myra Easwar,BQJMC4882D,1960-07-13,RETAIL,IN,LOW
C00240,Nikhil Yeshwant,YVWPF4390A,1968-07-15,RETAIL,IN,LOW
C00241,Leo Narang,FLYKK2560C,1996-02-25,RETAIL,GB,LOW
C00242,Vihaan Devraj,WEYEH5055G,1978-11-24,RETAIL,IN,LOW
C00243,Navya Quereshi,PNQCW7600J,1958-05-09,RETAIL,IN,LOW
C00244,Priya Kulkarn,RLUAZ6869B,1991-02-17,RETAIL,IN,LOW
C00245,Farhan Wadekar,GRJLK8951F,1961-09-19,RETAIL,IN,LOW
C00246,Aditya Sundaram,WQADF8009D,1950-01-23,RETAIL,SG,LOW
C00247,Meera Iyengar,JCWMJ1848G,1964-11-06,RETAIL,IN,LOW
C00248,Kiara Jadhavan,WCYDA3174K,1956-12-28,RETAIL,IN,LOW
C00249,Aarav Vardhan,YLDPY4751G,1956-05-09,RETAIL,IN,LOW
C00250,Reyansh Fernhill,MKENE2120J,1962-10-26,RETAIL,IN,LOW
C00251,Ananya Kulkarn,MZGWZ8248D,1986-12-08,RETAIL,IN,LOW
C00252,Upadhyay Exports,UZNMP5059E,,BUSINESS,IN,LOW
C00253,Leo Pillaiyar,ZVKYA4366J,1977-01-23,RETAIL,IN,MEDIUM
C00254,Tara Easwar,WBHRN2163J,1994-10-27,RETAIL,IN,LOW
C00255,Ganeshan Infotech,ENUPM8717B,,BUSINESS,IN,LOW
C00256,Devraj Textiles,BBNSK7806G,,BUSINESS,IN,LOW
C00257,Narang Auto Parts,VEJCK3545J,,BUSINESS,IN,LOW
C00258,Arjun Easwar,YPZHB2900H,1988-12-24,RETAIL,IN,LOW
C00259,Raghunath Logistics,DAYEY6680J,,BUSINESS,IN,LOW
C00260,Anika Iyengar,MEZJZ6488G,1952-08-19,RETAIL,IN,MEDIUM
C00261,Sethuram Jewellers,WCRQS3734F,,BUSINESS,IN,LOW
C00262,Marcus Raghunath,ZDHZS5006A,1951-02-07,RETAIL,IN,LOW
C00263,Ishaan Iyengar,BTYZW5067G,1978-11-14,RETAIL,IN,LOW
C00264,Arjun Oberai,MDSXB1752G,1996-04-09,RETAIL,IN,LOW
C00265,Riya Upadhyay,KLCTQ5777K,1968-01-02,RETAIL,IN,LOW
C00266,Myra Kulkarn,MURGZ3466A,1971-12-29,RETAIL,AE,MEDIUM
C00267,Narang Infotech,WYALA6038B,,BUSINESS,IN,LOW
C00268,Zoya Lokesh,BEYJC9515G,1970-10-07,RETAIL,IN,LOW
C00269,Sai Oberai,DSEWN8126C,1955-08-03,RETAIL,IN,LOW
C00270,Kabir Ashbury,NYZLL2223D,1970-12-16,RETAIL,IN,LOW
C00271,Reyansh Rathore,DFQQL6870D,1998-01-30,RETAIL,IN,LOW
C00272,Ayaan Malhotri,FXKYY6370C,1969-04-16,RETAIL,IN,LOW
C00273,Nikhil Harikumar,SBXKJ1509G,1965-08-07,RETAIL,IN,MEDIUM
C00274,Elena Castellan,DQDED3141D,1969-12-10,RETAIL,IN,LOW
C00275,Sai Oberai,UJCAC3110B,1989-10-13,RETAIL,IN,LOW
C00276,Rohan Sundaram,BQBFU9128A,1985-06-09,RETAIL,IN,LOW
C00277,Nikhil Bhandari,FJJQE5835H,1972-01-19,RETAIL,IN,LOW
C00278,Vihaan Malhotri,JNEPG5082J,1997-03-04,RETAIL,IN,LOW
C00279,Nikhil Lokesh,TRMUS3946A,1974-04-06,RETAIL,IN,LOW
C00280,Navya Kestrel,RSMUH5060D,1958-12-26,RETAIL,IN,HIGH
C00281,Vihaan Upadhyay,HUNMF6878K,1978-07-13,RETAIL,IN,LOW
C00282,Marcus Oberai,EUGRT1621B,1993-12-31,RETAIL,IN,LOW
C00283,Vivaan Mirchandan,RALVG3907F,1980-07-27,RETAIL,IN,MEDIUM
C00284,Sethuram Logistics,DSMCM2655F,,BUSINESS,IN,LOW
C00285,Iyengar Pharma Distributors,WRWLF4657K,,BUSINESS,IN,LOW
C00286,Riya Rathore,FZAYU3983K,1952-11-27,RETAIL,IN,LOW
C00287,Nora Castellan,WUDRE4899F,1956-12-24,RETAIL,SG,LOW
C00288,Sai Wadekar,YXWZL4435D,1973-10-17,RETAIL,IN,LOW
C00289,Reyansh Thakkar,ABNQZ7783H,1964-12-03,RETAIL,IN,LOW
C00290,Kavya Sundaram,RUWXH1547E,1956-08-12,RETAIL,IN,LOW
C00291,Reyansh Malhotri,LFNFZ6536K,1958-05-09,RETAIL,SG,LOW
C00292,Vivaan Jadhavan,WFVPF4367D,1979-09-15,RETAIL,IN,LOW
C00293,Omar Devraj,XKKHD3516A,1994-01-17,RETAIL,IN,LOW
C00294,Riya Wadekar,XWVRG3798E,1968-07-26,RETAIL,GB,LOW
C00295,Ayaan Easwar,NRRXJ7349C,1998-10-25,RETAIL,IN,LOW
C00296,Diya Kulkarn,BJQQJ2009C,1974-02-04,RETAIL,IN,LOW
C00297,Sai Raghunath,MTPUH9561G,1984-09-23,RETAIL,GB,LOW
C00298,Rahul Oberai,HRKCN9226K,1953-02-11,RETAIL,IN,MEDIUM
C00299,Nora Rathore,DQFFG1699G,1961-04-27,RETAIL,IN,MEDIUM
C00300,Saanvi Wadekar,WEVJL2425G,1956-01-05,RETAIL,IN,MEDIUM
C00301,Navya Mirchandan,QAYVU2843G,1987-08-24,RETAIL,IN,LOW
C00302,Hana Upadhyay,DDUDK7732E,1980-11-06,RETAIL,IN,MEDIUM
C00303,Leo Lokesh,BFJNE1635G,1986-01-15,RETAIL,IN,LOW
C00304,Myra Kestrel,ZRJMA6094E,1977-03-10,RETAIL,IN,LOW
C00305,Reyansh Yeshwant,HEKZQ5414G,1978-10-15,RETAIL,IN,LOW
C00306,Kulkarn Textiles,PZRSM3604B,,BUSINESS,IN,MEDIUM
C00307,Krishna Upadhyay,SUAFG1944D,1968-01-04,RETAIL,IN,MEDIUM
C00308,Ganeshan Textiles,JMQSN1500D,,BUSINESS,IN,LOW
C00309,Diya Yeshwant,RUTMM2480E,1973-03-16,RETAIL,IN,LOW
C00310,Yeshwant Jewellers,GHWHX9409A,,BUSINESS,IN,LOW
C00311,Aarav Lokesh,EWFVA5511G,1977-05-28,RETAIL,IN,LOW
C00312,Neha Devraj,GQKXS2676A,1985-08-18,RETAIL,IN,MEDIUM
C00313,Priya Narang,WVVKK2045F,1993-03-21,RETAIL,SG,LOW
C00314,Navya Devraj,WYWKG1930K,1971-07-24,RETAIL,IN,LOW
C00315,Krishna Thakkar,AWRKJ7361A,1986-04-19,RETAIL,IN,MEDIUM
C00316,Saanvi Fernhill,ZYHXT6873J,1992-09-05,RETAIL,IN,LOW
C00317,Elena Iyengar,KDREZ6499B,1966-06-04,RETAIL,IN,LOW
C00318,Meera Jadhavan,LMJUK8709A,1960-07-26,RETAIL,IN,LOW
C00319,Nora Malhotri,RGSDX7768A,1976-10-07,RETAIL,IN,LOW
C00320,Saanvi Fernhill,PUQEL2324H,1966-03-07,RETAIL,IN,MEDIUM
C00321,Kabir Quereshi,BAQJG3595H,1965-02-15,RETAIL,IN,LOW
C00322,Krishna Pillaiyar,PWPNP1076A,1984-05-22,RETAIL,IN,HIGH
C00323,Aarav Zaveri,LSGAX4707F,1972-04-28,RETAIL,IN,LOW
C00324,Mirchandan Jewellers,KFCBK9524K,,BUSINESS,IN,MEDIUM
