txn_ref,account_number,direction,amount,currency,counterparty_name,counterparty_account,counterparty_country,channel,jurisdiction,occurred_at
TXN0002934,MT5000009372,CREDIT,26504.86,INR,BookWorld,CP7658474983,SG,NEFT,SG,2026-05-21T09:02:35Z
TXN0005831,MT5000019030,CREDIT,7167.51,INR,PhoneNet Telecom,CP9146723894,GB,NEFT,GB,2026-05-21T09:14:08Z
TXN0002885,MT5000009142,CREDIT,20029.72,INR,FuelPoint,CP9780033232,SG,ATM,SG,2026-05-21T09:28:24Z
TXN0008105,MT5000026736,DEBIT,16863.93,INR,PhoneNet Telecom,CP8456713301,IN,UPI,IN,2026-05-21T09:50:00Z
TXN0002486,MT5000007973,DEBIT,20169.86,INR,School Fees Trust,CP3557731756,IN,CARD,IN,2026-05-21T09:50:36Z
TXN0002826,MT5000009005,CREDIT,26557.02,INR,PhoneNet Telecom,CP6481257299,IN,UPI,IN,2026-05-21T09:55:16Z
TXN0003881,MT5000012403,CREDIT,29333.95,INR,Water Board,CP2982155000,IN,UPI,IN,2026-05-21T09:55:56Z
TXN0004171,MT5000013355,CREDIT,42669.11,INR,Cloud Kitchen Co,CP8919045337,IN,CARD,IN,2026-05-21T09:58:42Z
TXN0008106,MT5000026736,DEBIT,22170.99,INR,Apollo Pharmacy Store,CP3869544238,IN,UPI,IN,2026-05-21T10:02:54Z
TXN0006612,MT5000021459,DEBIT,23203.58,INR,School Fees Trust,CP5753717812,IN,NEFT,IN,2026-05-21T10:11:26Z
TXN0006647,MT5000021627,DEBIT,109057.29,INR,Ashbury Auto Parts,CP9238535162,IN,NEFT,IN,2026-05-21T10:14:24Z
TXN0009340,MT5000030521,CREDIT,40302.21,INR,FuelPoint,CP5746209702,GB,UPI,GB,2026-05-21T10:16:47Z
TXN0005846,MT5000019097,DEBIT,98001.84,INR,Thakkar Pharma Distributors,CP7523237718,IN,CHEQUE,IN,2026-05-21T10:18:23Z
TXN0008564,MT5000028133,CREDIT,71889.51,INR,Yeshwant Logistics,CP3067609531,IN,NEFT,IN,2026-05-21T10:21:06Z
TXN0008974,MT5000029513,CREDIT,30193.87,INR,Water Board,CP3458445754,IN,UPI,IN,2026-05-21T10:21:23Z
TXN0006537,MT5000021188,DEBIT,9496.17,INR,Grocery Mart,CP7566326190,IN,NEFT,IN,2026-05-21T10:25:08Z
TXN0003709,MT5000011863,DEBIT,21639.02,INR,Hospital Billing,CP5446280742,IN,CARD,IN,2026-05-21T10:31:50Z
TXN0004722,MT5000015160,DEBIT,24118.80,INR,BookWorld,CP4963272837,IN,CARD,IN,2026-05-21T10:42:11Z
TXN0001081,MT5000003747,DEBIT,25952.00,INR,Apollo Pharmacy Store,CP3155252343,SG,CARD,SG,2026-05-21T10:55:34Z
TXN0000801,MT5000002680,DEBIT,43151.09,INR,Swiggle Foods,CP8679375040,IN,IMPS,IN,2026-05-21T10:56:01Z
TXN0004590,MT5000014764,DEBIT,20716.56,INR,Yeshwant Exports,CP6574768878,IN,CHEQUE,IN,2026-05-21T10:57:38Z
TXN0002194,MT5000007222,CREDIT,141923.54,INR,Devraj Logistics,CP9308878234,IN,IMPS,IN,2026-05-21T11:02:29Z
TXN0011806,MT5000039101,DEBIT,1749.60,INR,Hospital Billing,CP1097237534,IN,CARD,IN,2026-05-21T11:06:19Z
TXN0008442,MT5000027718,DEBIT,12800.23,INR,Cinema Plex,CP9555672637,IN,ATM,IN,2026-05-21T11:10:49Z
TXN0008272,MT5000027258,DEBIT,117124.54,INR,Yeshwant Auto Parts,CP8648821596,IN,CHEQUE,IN,2026-05-21T11:18:49Z
TXN0005081,MT5000016482,DEBIT,41240.45,INR,Insure Life Co,CP5212215237,IN,ATM,IN,2026-05-21T11:27:30Z
TXN0003298,MT5000010618,DEBIT,35511.75,INR,Grocery Mart,CP3393422977,IN,UPI,IN,2026-05-21T11:30:29Z
TXN0000527,MT5000001965,CREDIT,60212.68,INR,Bhandari Jewellers,CP1602597967,IN,IMPS,IN,2026-05-21T11:34:03Z
TXN0004142,MT5000013245,DEBIT,16558.62,INR,Insure Life Co,CP8487757441,IN,NEFT,IN,2026-05-21T11:35:23Z
TXN0008850,MT5000029086,DEBIT,43395.68,INR,Apollo Pharmacy Store,CP1214062432,IN,NEFT,IN,2026-05-21T11:36:11Z
TXN0002974,MT5000009610,CREDIT,1612.02,INR,School Fees Trust,CP2988188496,IN,NEFT,IN,2026-05-21T11:37:51Z
TXN0000067,MT5000000208,DEBIT,148082.08,INR,Kestrel Logistics,CP9967122592,IN,NEFT,IN,2026-05-21T11:43:41Z
TXN0006034,MT5000019844,DEBIT,24075.72,INR,FuelPoint,CP5231259698,IN,UPI,IN,2026-05-21T11:46:16Z
TXN0009769,MT5000032087,CREDIT,83367.86,INR,Narang Jewellers,CP6411659229,IN,RTGS,IN,2026-05-21T11:50:20Z
TXN0007577,MT5000024762,CREDIT,4645.00,INR,Cinema Plex,CP8499069848,IN,NEFT,IN,2026-05-21T11:51:00Z
TXN0009779,MT5000032184,DEBIT,38035.59,INR,Oberai Auto Parts,CP3433427915,IN,RTGS,IN,2026-05-21T12:08:49Z
TXN0007281,MT5000023613,DEBIT,22439.46,INR,PhoneNet Telecom,CP1430197069,IN,ATM,IN,2026-05-21T12:09:23Z
TXN0007713,MT5000025263,DEBIT,33916.96,INR,PhoneNet Telecom,CP1784337139,IN,NEFT,IN,2026-05-21T12:30:37Z
TXN0007185,MT5000023253,CREDIT,43702.72,INR,School Fees Trust,CP3019448257,IN,ATM,IN,2026-05-21T12:58:19Z
TXN0004764,MT5000015345,DEBIT,7661.95,INR,PhoneNet Telecom,CP8840855632,IN,CARD,IN,2026-05-21T13:31:07Z
TXN0005324,MT5000017243,DEBIT,415.35,INR,Cinema Plex,CP3640004732,IN,IMPS,IN,2026-05-21T13:37:43Z
TXN0003472,MT5000011178,DEBIT,39630.30,INR,PhoneNet Telecom,CP1079311635,IN,UPI,IN,2026-05-21T13:40:30Z
TXN0000342,MT5000001141,DEBIT,22233.89,INR,PhoneNet Telecom,CP8249826023,IN,NEFT,IN,2026-05-21T13:41:02Z
TXN0007708,MT5000025263,DEBIT,25714.51,INR,School Fees Trust,CP7765984805,IN,NEFT,IN,2026-05-21T13:46:00Z
TXN0008430,MT5000027683,CREDIT,27959.16,INR,Swiggle Foods,CP4675836451,IN,NEFT,IN,2026-05-21T14:02:43Z
TXN0001613,MT5000005606,CREDIT,17.86,USD,Cinema Plex,CP1525913802,IN,NEFT,IN,2026-05-21T14:04:41Z
TXN0011580,MT5000038366,DEBIT,5030.88,INR,Cloud Kitchen Co,CP5074943386,US,IMPS,US,2026-05-21T14:05:48Z
TXN0010810,MT5000035772,CREDIT,21783.78,INR,Insure Life Co,CP4353423788,IN,UPI,IN,2026-05-21T14:12:47Z
TXN0005750,MT5000018783,DEBIT,7270.62,INR,Hospital Billing,CP6739009474,IN,UPI,IN,2026-05-21T14:22:57Z
TXN0001039,MT5000003615,DEBIT,25105.88,INR,Cloud Kitchen Co,CP1890000799,IN,UPI,IN,2026-05-21T15:02:07Z
TXN0012261,MT5000040562,DEBIT,40921.40,INR,RentPay Housing,CP3912798548,IN,CARD,IN,2026-05-21T15:19:55Z
TXN0010392,MT5000034585,DEBIT,38133.07,INR,Water Board,CP8767296823,GB,UPI,GB,2026-05-21T15:28:23Z
TXN0007775,MT5000025479,DEBIT,33419.84,INR,Grocery Mart,CP7691344677,IN,ATM,IN,2026-05-22T02:52:18Z
TXN0000901,MT5000003170,CREDIT,9629.05,INR,Cloud Kitchen Co,CP8639170637,IN,UPI,IN,2026-05-22T03:07:06Z
TXN0010131,MT5000033572,DEBIT,145970.95,INR,Sundaram Auto Parts,CP7413545210,IN,CHEQUE,IN,2026-05-22T03:07:33Z
TXN0002485,MT5000007973,CREDIT,11316.60,INR,Grocery Mart,CP8722060811,IN,UPI,IN,2026-05-22T03:28:57Z
TXN0005127,MT5000016598,DEBIT,28737.16,INR,FuelPoint,CP6496550932,IN,NEFT,IN,2026-05-22T03:37:48Z
TXN0005735,MT5000018747,DEBIT,486.57,USD,City Power Board,CP4251740917,IN,NEFT,IN,2026-05-22T03:38:17Z
TXN0008207,MT5000027004,CREDIT,41844.82,INR,City Power Board,CP5724762135,IN,IMPS,IN,2026-05-22T03:38:57Z
TXN0000239,MT5000000861,DEBIT,88467.61,INR,Iyengar Agro Foods,CP7846200001,IN,NEFT,IN,2026-05-22T03:40:43Z
TXN0001545,MT5000005399,DEBIT,41378.57,INR,Hospital Billing,CP8828160589,SG,ATM,SG,2026-05-22T03:45:06Z
TXN0005109,MT5000016557,DEBIT,14188.57,INR,City Power Board,CP1660406802,IN,UPI,IN,2026-05-22T03:52:47Z
TXN0009594,MT5000031432,CREDIT,27289.74,INR,School Fees Trust,CP7156968696,IN,NEFT,IN,2026-05-22T03:55:24Z
TXN0002518,MT5000008122,CREDIT,6886.18,INR,School Fees Trust,CP2474416790,US,NEFT,US,2026-05-22T04:15:36Z
TXN0003324,MT5000010711,DEBIT,8525.32,INR,BookWorld,CP6811634297,IN,CARD,IN,2026-05-22T04:16:16Z
TXN0003170,MT5000010219,DEBIT,2738.06,INR,School Fees Trust,CP8115602368,IN,ATM,IN,2026-05-22T04:19:22Z
TXN0001508,MT5000005311,DEBIT,33067.57,INR,Swiggle Foods,CP7121433942,IN,IMPS,IN,2026-05-22T04:24:55Z
TXN0009001,MT5000029600,DEBIT,139187.92,INR,Easwar Jewellers,CP6706612196,IN,NEFT,IN,2026-05-22T04:41:06Z
TXN0010563,MT5000035100,DEBIT,41610.09,INR,Hospital Billing,CP1368222070,IN,CARD,IN,2026-05-22T05:02:57Z
TXN0007723,MT5000025281,DEBIT,85854.49,INR,Mirchandan Traders,CP1638122723,IN,RTGS,IN,2026-05-22T05:12:34Z
TXN0007073,MT5000023048,DEBIT,170997.17,INR,Bhandari Textiles,CP9759713580,IN,RTGS,IN,2026-05-22T05:19:29Z
TXN0004068,MT5000013025,DEBIT,29571.96,INR,Grocery Mart,CP6424051205,IN,NEFT,IN,2026-05-22T05:24:29Z
TXN0011773,MT5000039026,DEBIT,5379.29,INR,City Power Board,CP7083506289,IN,CARD,IN,2026-05-22T05:34:07Z
TXN0003669,MT5000011628,DEBIT,17423.40,INR,Insure Life Co,CP7264141044,GB,ATM,GB,2026-05-22T05:41:23Z
TXN0009418,MT5000030896,DEBIT,12866.45,INR,FuelPoint,CP6989141156,IN,UPI,IN,2026-05-22T05:43:07Z
TXN0003374,MT5000010865,DEBIT,4322.59,INR,City Power Board,CP4845675713,IN,CARD,IN,2026-05-22T05:46:01Z
TXN0006731,MT5000022035,DEBIT,18581.84,INR,Insure Life Co,CP6697777384,IN,CARD,IN,2026-05-22T06:05:54Z
TXN0008869,MT5000029120,DEBIT,41647.90,INR,City Power Board,CP1341062191,IN,NEFT,IN,2026-05-22T06:17:11Z
TXN0009812,MT5000032234,DEBIT,32232.17,INR,Apollo Pharmacy Store,CP5929884090,US,ATM,US,2026-05-22T06:21:56Z
TXN0010149,MT5000033576,DEBIT,70391.27,INR,Easwar Logistics,CP9885562295,IN,CHEQUE,IN,2026-05-22T06:50:49Z
TXN0002255,MT5000007266,DEBIT,145308.11,INR,Zaveri Hardware Mart,CP2464864695,IN,IMPS,IN,2026-05-22T06:58:51Z
TXN0012214,MT5000040466,DEBIT,15568.02,INR,Swiggle Foods,CP6145361402,IN,UPI,IN,2026-05-22T07:18:14Z
TXN0001178,MT5000003969,DEBIT,18970.33,INR,City Power Board,CP4996473092,IN,UPI,IN,2026-05-22T07:37:21Z
TXN0000178,MT5000000618,DEBIT,20802.06,INR,RentPay Housing,CP7040384625,GB,CARD,GB,2026-05-22T07:37:50Z
TXN0006686,MT5000021733,DEBIT,15978.92,INR,Hospital Billing,CP9500373271,IN,IMPS,IN,2026-05-22T07:41:11Z
TXN0003507,MT5000011244,CREDIT,35147.25,INR,City Power Board,CP1055817848,IN,ATM,IN,2026-05-22T08:08:50Z
TXN0001142,MT5000003881,DEBIT,176444.46,INR,Upadhyay Jewellers,CP8662071692,IN,NEFT,IN,2026-05-22T08:29:08Z
TXN0007257,MT5000023534,DEBIT,41806.11,INR,Cloud Kitchen Co,CP8371660999,SG,NEFT,SG,2026-05-22T08:32:03Z
TXN0002696,MT5000008510,DEBIT,8027.40,INR,Cloud Kitchen Co,CP4375788201,AE,CARD,AE,2026-05-22T08:44:18Z
TXN0003839,MT5000012291,DEBIT,38117.63,INR,Cinema Plex,CP2705866867,IN,CARD,IN,2026-05-22T08:52:03Z
TXN0000266,MT5000000933,CREDIT,77239.63,INR,Ganeshan Auto Parts,CP3817151728,IN,RTGS,IN,2026-05-22T09:02:04Z
TXN0007652,MT5000024999,CREDIT,121553.47,INR,Kulkarn Pharma Distributors,CP2570537995,US,IMPS,US,2026-05-22T09:07:38Z
TXN0001274,MT5000004363,CREDIT,3506.65,INR,Metro Rail Card,CP8664562780,IN,ATM,IN,2026-05-22T09:12:03Z
TXN0006805,MT5000022273,DEBIT,10983.40,INR,BookWorld,CP5335600132,IN,UPI,IN,2026-05-22T09:18:26Z
TXN0008249,MT5000027161,CREDIT,779.81,USD,Yeshwant Exports,CP7261397625,IN,NEFT,IN,2026-05-22T09:42:41Z
TXN0000013,MT5000000014,DEBIT,14435.94,INR,PhoneNet Telecom,CP8795730263,GB,ATM,GB,2026-05-22T09:44:04Z
TXN0000535,MT5000002021,CREDIT,134095.30,INR,Castellan Jewellers,CP8153819885,IN,CHEQUE,IN,2026-05-22T09:44:37Z
TXN0007998,MT5000026235,DEBIT,12331.62,INR,School Fees Trust,CP3113056000,IN,ATM,IN,2026-05-22T09:57:23Z
TXN0003925,MT5000012572,CREDIT,43880.04,INR,Water Board,CP3654162183,IN,NEFT,IN,2026-05-22T10:03:13Z
TXN0007159,MT5000023171,DEBIT,20133.47,INR,PhoneNet Telecom,CP6772709467,GB,ATM,GB,2026-05-22T10:19:55Z
TXN0011172,MT5000036925,CREDIT,34379.54,INR,Cinema Plex,CP7542826252,IN,IMPS,IN,2026-05-22T10:40:44Z
TXN0002453,MT5000007872,DEBIT,35771.88,INR,PhoneNet Telecom,CP1255288477,GB,IMPS,GB,2026-05-22T10:44:49Z
TXN0003201,MT5000010263,DEBIT,110928.01,INR,Harikumar Agro Foods,CP8179448674,US,RTGS,US,2026-05-22T10:57:08Z
TXN0010379,MT5000034516,DEBIT,40183.25,INR,Cloud Kitchen Co,CP8226734875,IN,CARD,IN,2026-05-22T11:05:03Z
TXN0002166,MT5000007185,CREDIT,36103.79,INR,FuelPoint,CP3670449118,IN,NEFT,IN,2026-05-22T11:12:47Z
TXN0006138,MT5000020167,DEBIT,17004.72,INR,RentPay Housing,CP6218211123,IN,NEFT,IN,2026-05-22T11:20:27Z
TXN0003590,MT5000011358,DEBIT,28198.10,INR,PhoneNet Telecom,CP8942530256,US,IMPS,US,2026-05-22T11:53:08Z
TXN0004355,MT5000014087,DEBIT,35018.44,INR,Insure Life Co,CP9017097225,IN,UPI,IN,2026-05-22T11:59:58Z
TXN0002642,MT5000008402,DEBIT,156249.95,INR,Narang Logistics,CP3618889009,IN,IMPS,IN,2026-05-22T12:03:55Z
TXN0000953,MT5000003423,CREDIT,28866.09,INR,Water Board,CP6125551262,IN,ATM,IN,2026-05-22T12:04:52Z
TXN0008253,MT5000027161,DEBIT,537.14,USD,Ganeshan Jewellers,CP2180224582,IN,CHEQUE,IN,2026-05-22T12:07:57Z
TXN0004525,MT5000014483,CREDIT,40055.15,INR,Grocery Mart,CP5361152981,IN,CARD,IN,2026-05-22T12:39:10Z
TXN0007946,MT5000026066,DEBIT,22394.69,INR,Swiggle Foods,CP5411050314,US,UPI,US,2026-05-22T12:45:51Z
TXN0009491,MT5000031153,CREDIT,6449.13,INR,Metro Rail Card,CP8740792029,IN,UPI,IN,2026-05-22T12:46:51Z
TXN0004394,MT5000014100,DEBIT,162774.69,INR,Ashbury Infotech,CP8256394548,IN,NEFT,IN,2026-05-22T12:59:20Z
TXN0004282,MT5000013750,CREDIT,43254.11,INR,Metro Rail Card,CP9504305039,IN,UPI,IN,2026-05-22T13:09:57Z
TXN0009902,MT5000032510,CREDIT,21243.18,INR,Apollo Pharmacy Store,CP2179094434,GB,ATM,GB,2026-05-22T13:12:22Z
TXN0008731,MT5000028521,DEBIT,16783.73,INR,Water Board,CP7893365878,US,ATM,US,2026-05-22T13:19:08Z
TXN0003475,MT5000011178,CREDIT,37615.77,INR,Grocery Mart,CP7797608857,GB,NEFT,GB,2026-05-22T13:23:27Z
TXN0012151,MT5000040206,DEBIT,26246.16,INR,Grocery Mart,CP2240255046,IN,CARD,IN,2026-05-22T13:32:28Z
TXN0005577,MT5000018251,DEBIT,42074.33,INR,Hospital Billing,CP2129972955,IN,UPI,IN,2026-05-22T13:37:13Z
TXN0004074,MT5000013025,DEBIT,5757.19,INR,Cinema Plex,CP8022714246,IN,NEFT,IN,2026-05-22T13:37:56Z
TXN0006184,MT5000020259,DEBIT,29405.64,INR,City Power Board,CP3464057387,IN,IMPS,IN,2026-05-22T13:42:32Z
TXN0011691,MT5000038712,DEBIT,8847.57,INR,PhoneNet Telecom,CP1326650343,IN,ATM,IN,2026-05-22T13:44:12Z
TXN0011813,MT5000039103,DEBIT,31819.26,INR,BookWorld,CP7109328413,GB,CARD,GB,2026-05-22T13:59:10Z
TXN0000192,MT5000000660,DEBIT,35635.80,INR,Hospital Billing,CP2846920487,IN,NEFT,IN,2026-05-22T14:08:20Z
TXN0011918,MT5000039467,DEBIT,1886.15,USD,Wadekar Exports,CP3126785562,IN,IMPS,IN,2026-05-22T14:09:55Z
TXN0012080,MT5000039960,CREDIT,21265.57,INR,Cinema Plex,CP1918490631,IN,ATM,IN,2026-05-22T14:16:58Z
TXN0003411,MT5000011016,DEBIT,55654.08,INR,Iyengar Textiles,CP9880831469,IN,CHEQUE,IN,2026-05-22T14:24:34Z
TXN0009009,MT5000029667,CREDIT,130168.27,INR,Wadekar Infotech,CP6901593535,IN,RTGS,IN,2026-05-22T14:57:35Z
TXN0011296,MT5000037314,DEBIT,29544.46,INR,Cloud Kitchen Co,CP6030987709,IN,UPI,IN,2026-05-22T15:02:22Z
TXN0004096,MT5000013115,DEBIT,34944.04,INR,Hospital Billing,CP4895014344,IN,ATM,IN,2026-05-22T15:02:43Z
TXN0007494,MT5000024418,DEBIT,10377.60,INR,RentPay Housing,CP7439194934,IN,ATM,IN,2026-05-22T15:26:10Z
TXN0009913,MT5000032542,CREDIT,44960.36,INR,PhoneNet Telecom,CP8055222032,IN,IMPS,IN,2026-05-23T02:30:39Z
TXN0005927,MT5000019356,DEBIT,24300.93,INR,Grocery Mart,CP8505480636,IN,UPI,IN,2026-05-23T02:31:13Z
TXN0008482,MT5000027896,DEBIT,88806.32,INR,Devraj Logistics,CP6724077534,IN,RTGS,IN,2026-05-23T02:49:16Z
TXN0005715,MT5000018670,DEBIT,451.11,USD,Cinema Plex,CP3434741022,IN,CARD,IN,2026-05-23T02:58:22Z
TXN0003203,MT5000010263,CREDIT,42354.17,INR,Zaveri Agro Foods,CP9494427321,IN,NEFT,IN,2026-05-23T02:59:10Z
TXN0008133,MT5000026872,DEBIT,8411.57,INR,Insure Life Co,CP4997508598,IN,NEFT,IN,2026-05-23T03:09:05Z
TXN0004201,MT5000013403,DEBIT,38021.89,INR,School Fees Trust,CP6546962593,IN,ATM,IN,2026-05-23T03:10:27Z
TXN0002022,MT5000006722,DEBIT,13017.77,INR,FuelPoint,CP1490869240,IN,CARD,IN,2026-05-23T03:18:07Z
TXN0004676,MT5000015014,DEBIT,27161.29,INR,Insure Life Co,CP1098246042,SG,UPI,SG,2026-05-23T03:20:18Z
TXN0006687,MT5000021733,DEBIT,13750.04,INR,FuelPoint,CP4274431220,IN,CARD,IN,2026-05-23T03:21:47Z
TXN0000945,MT5000003354,DEBIT,23721.97,INR,Apollo Pharmacy Store,CP2949341504,IN,NEFT,IN,2026-05-23T03:42:12Z
TXN0000822,MT5000002744,DEBIT,13046.44,INR,Cinema Plex,CP4657464840,IN,CARD,IN,2026-05-23T04:25:08Z
TXN0008819,MT5000028932,DEBIT,42124.44,INR,Metro Rail Card,CP1027298107,IN,NEFT,IN,2026-05-23T04:41:33Z
TXN0006832,MT5000022329,DEBIT,30365.97,INR,School Fees Trust,CP1815769294,IN,CARD,IN,2026-05-23T04:43:04Z
TXN0006124,MT5000020084,CREDIT,28954.61,INR,Grocery Mart,CP8339001712,IN,UPI,IN,2026-05-23T04:50:36Z
TXN0000618,MT5000002134,CREDIT,148996.26,INR,Castellan Exports,CP1323890137,IN,NEFT,IN,2026-05-23T04:53:04Z
TXN0008085,MT5000026673,DEBIT,5885.37,INR,Metro Rail Card,CP5571092831,IN,NEFT,IN,2026-05-23T05:21:22Z
TXN0010317,MT5000034158,DEBIT,9317.58,INR,Grocery Mart,CP9749997536,IN,ATM,IN,2026-05-23T05:36:27Z
TXN0010398,MT5000034585,DEBIT,27067.18,INR,Cloud Kitchen Co,CP5079288033,IN,UPI,IN,2026-05-23T05:44:35Z
TXN0002973,MT5000009610,CREDIT,37066.69,INR,Water Board,CP6809476815,IN,CARD,IN,2026-05-23T05:52:54Z
TXN0008444,MT5000027718,DEBIT,32680.27,INR,Grocery Mart,CP6717955791,IN,NEFT,IN,2026-05-23T06:02:43Z
TXN0011270,MT5000037215,DEBIT,43813.17,INR,Insure Life Co,CP9218583587,IN,NEFT,IN,2026-05-23T06:07:25Z
TXN0000045,MT5000000150,DEBIT,159749.52,INR,Raghunath Hardware Mart,CP4410033885,IN,IMPS,IN,2026-05-23T06:08:31Z
TXN0009583,MT5000031429,DEBIT,570.54,INR,City Power Board,CP9484136933,IN,UPI,IN,2026-05-23T06:24:06Z
TXN0006540,MT5000021188,DEBIT,3851.38,INR,Apollo Pharmacy Store,CP3654275027,IN,UPI,IN,2026-05-23T06:24:45Z
TXN0012221,MT5000040466,CREDIT,6160.89,INR,FuelPoint,CP3598065937,IN,IMPS,IN,2026-05-23T06:30:24Z
